#_x,Country,Daily Oil Consumption (barrels),Consumption World Share,Yearly Gallons Per Capita,#_y,Oil Reserves (barrels) in 2025,Reserves World Share,Annual Oil Consumption (barrels),Reserve-to-Consumption Ratio
128,Kyrgyzstan,30019.0,0.00029,64,79,40000000.0,2.3e-05,10956935.0,3.650655954425211
130,Trinidad and Tobago,27005.0,0.00026,274.6,53,242982000.0,0.00014000000000000001,9856825.0,24.651142736124463
132,Guyana,26760.0,0.00026,493.6,17,11000000000.0,0.0062,9767400.0,1126.1953027417737
133,DR Congo,25053.0,0.00024,3.5,58,180000000.0,0.0001,9144345.0,19.68429668828112
134,Albania,24655.0,0.00024,135.4,63,150000000.0,8.5e-05,8999075.0,16.66837980570225
143,Niger,20173.0,0.0002,11.4,60,150000000.0,8.5e-05,7363145.0,20.371729743200767
148,Brunei,16338.0,0.00016,541.3,41,1100000000.0,0.00062,5963370.0,184.4594583264161
151,Suriname,14772.0,0.00014000000000000001,357,70,101700000.0,5.7999999999999994e-05,5391780.0,18.862045558238652
152,Gabon,14511.0,0.00014000000000000001,87.6,35,2000000000.0,0.0011,5296515.0,377.60678483871
154,Congo,14100.0,0.00014000000000000001,34.1,36,1811000000.0,0.001,5146500.0,351.8896337316623
155,Chad,13284.0,0.00013,10,38,1500000000.0,0.0008500000000000001,4848660.0,309.3638242318496
163,Barbados,10498.0,0.0001,569.8,97,1542000.0,8.7e-07,3831770.0,0.4024249889737641
169,Equatorial Guinea,6337.0,6.2e-05,51.3,40,1100000000.0,0.00062,2313005.0,475.5718210725874
174,Belize,5575.0,5.4000000000000005e-05,204.9,94,6700000.0,3.8e-06,2034875.0,3.292585539652313
